Date,Open,High,Low,Close,Volume,Adj Close
2014-08-20,19.45,19.46,19.24,19.40,3007800,17.821
2014-08-19,19.465,19.54,19.405,19.53,2739900,17.94
2014-08-18,19.455,19.525,19.34,19.405,2587900,17.825
2014-08-15,19.32,19.575,19.15,19.19,4498400,17.628
2014-08-14,19.085,19.34,19.06,19.29,2982700,17.72
2014-08-13,19.10,19.175,18.98,19.155,3471000,17.596
2014-08-12,19.08,19.12,18.90,18.995,4419400,17.449
2014-08-11,19.24,19.30,19.10,19.135,4479700,17.577
2014-08-08,19.07,19.39,19.07,19.135,4588000,17.577
2014-08-07,19.475,19.745,19.20,19.285,7698000,17.715
2014-08-06,19.49,19.585,19.275,19.46,6329500,17.876
2014-08-05,19.465,19.73,19.40,19.59,12185600,17.995
2014-08-04,18.75,18.955,18.615,18.905,5429900,17.366
2014-08-01,18.66,18.75,18.49,18.675,7000900,17.155
2014-07-31,18.925,18.985,18.615,18.77,7238900,17.242
2014-07-30,18.82,19.115,18.74,18.975,8020400,17.43
2014-07-29,18.685,18.91,18.675,18.82,5799500,17.288
2014-07-28,18.50,18.67,18.405,18.67,5455800,17.15
2014-07-25,18.515,18.595,18.40,18.43,4793900,16.93
2014-07-24,18.255,18.525,18.205,18.515,5102400,17.008
2014-07-23,18.16,18.34,18.10,18.265,4639700,16.778
2014-07-22,17.85,18.125,17.755,18.12,5458800,16.645
2014-07-21,17.66,17.865,17.59,17.74,4764800,16.296
2014-07-18,17.44,17.63,17.35,17.63,3804100,16.195
2014-07-17,17.575,17.615,17.385,17.475,4121300,16.053
2014-07-16,17.48,17.75,17.465,17.655,4639200,16.218
2014-07-15,17.40,17.525,17.375,17.395,3769600,15.979
2014-07-14,17.335,17.48,17.295,17.475,3467600,16.053
2014-07-11,17.40,17.425,17.26,17.35,4206800,15.938
2014-07-10,17.69,17.735,17.36,17.395,5510800,15.979
2014-07-09,17.745,17.75,17.63,17.715,3530400,16.273
2014-07-08,18.005,18.075,17.67,17.67,4983500,16.232
2014-07-07,18.065,18.165,18.00,18.005,2954000,16.539
2014-07-04,18.295,18.325,18.135,18.15,2657200,16.673
